"Videnskabeligt navn";"Autor";"Dansk navn";"Familie";"Orden";"Artsgruppe (dk)"
"Camponotus herculeanus";"(Linnaeus, 1758)";"Herkulesmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Camponotus ligniperda";"(Latreille, 1802)";"Kæmpemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica aquilonia";"Yarrow, 1955";"Nordlig skovmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica cinerea";"Mayr, 1853";"Grå klitmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica cunicularia";"Latreille, 1798";"Brun slavemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica exsecta";"Nylander, 1846";"Rød hedemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica foreli";"Bondroit, 1918";"";"Formicidae";"Hymenoptera";"Årevinger"
"Formica forsslundi";"Lohmander, 1949";"";"Formicidae";"Hymenoptera";"Årevinger"
"Formica fusca";"Linnaeus, 1758";"Sort slavemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica picea";"Nylander, 1846";"Mosemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica polyctena";"Förster, 1850";"Lille skovmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica pratensis";"Retzius, 1783";"Hedeskovmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica pressilabris";"Nylander, 1846";"";"Formicidae";"Hymenoptera";"Årevinger"
"Formica rufa";"Linnaeus, 1761";"Rød skovmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica rufibarbis";"Fabricius, 1793";"Rød slavemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica sanguinea";"Latreille, 1798";"Blodrød rovmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica truncorum";"Fabricius, 1804";"Stubmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formica uralensis";"Ruzsky, 1895";"Uralmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Formicoxenus nitidulus";"(Nylander, 1846)";"Blank gæstemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Harpagoxenus sublaevis";"(Nylander, 1849)";"Røvermyre";"Formicidae";"Hymenoptera";"Årevinger"
"Hypoponera punctatissima";"(Roger, 1859)";"Kompostmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius alienus";"(Förster, 1850)";"Hedemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius brunneus";"(Latreille, 1798)";"Brun træmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius flavus";"(Fabricius, 1782)";"Gul engmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius fuliginosus";"(Latreille, 1798)";"Orangemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius meridionalis";"(Bondroit, 1920)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius mixtus";"(Nylander, 1846)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius niger";"(Linnaeus, 1758)";"Sort havemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius platythorax";"Seifert, 1991";"";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius psammophilus";"Seifert, 1992";"Sandjordsmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Lasius umbratus";"(Nylander, 1846)";"Gul jordmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Leptothorax acervorum";"(Fabricius, 1793)";"Barkmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Leptothorax goesswaldi";"Kutter, 1967";"Parasitbarkmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Leptothorax kutteri";"Buschinger, 1966";"Snyltebarkmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Leptothorax muscorum";"(Nylander, 1846)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Monomorium pharaonis";"(Linnaeus, 1758)";"Faraomyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmecina graminicola";"(Latreille, 1802)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica gallienii";"Bondroit, 1920";"";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica hirsuta";"Elmes, 1978";"";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica lobicornis";"Nylander, 1846";"Mørk stikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica rubra";"(Linnaeus, 1758)";"Korttornet stikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica ruginodis";"Nylander, 1846";"Almindelig stikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica rugulosa";"Nylander, 1849";"Sandstikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica sabuleti";"Meinert, 1861";"Hedestikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica scabrinodis";"Nylander, 1846";"Engstikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica schencki";"Emery, 1895";"Tragtstikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica specioides";"Bondroit, 1918";"";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica sulcinodis";"Nylander, 1846";"Stor stikmyre";"Formicidae";"Hymenoptera";"Årevinger"
"Myrmica vandeli";"(Bondroit, 1920)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Solenopsis fugax";"(Latreille, 1798)";"Tyvemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Stenamma debile";"(Förster, 1850)";"Skyggemyre";"Formicidae";"Hymenoptera";"Årevinger"
"Temnothorax interruptus";"(Schenck, 1852)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Temnothorax nylanderi";"(Förster, 1850)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Temnothorax tuberum";"(Fabricius, 1775)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Tetramorium atratulum";"(Schenck, 1852)";"";"Formicidae";"Hymenoptera";"Årevinger"
"Tetramorium caespitum";"(Linnaeus, 1758)";"Græstørvmyre";"Formicidae";"Hymenoptera";"Årevinger"
