Videnskabeligt_navn;Autor;Dansk_navn;Familie;Orden;Artsgruppe;Status
Ponera coarctata;(Latreille);storbrodmyre;Formicidae;Hymenoptera;Årevinger;Endnu ikke registreret for DK, potentiel ny art
Hypoponera punctatissima;(Roger, 1859);kompostmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Leptothorax acervorum;(Fabricius, 1793);stor barkmyre ;Formicidae;Hymenoptera;Årevinger;Fritlevende
Leptothorax goesswaldi;(Kutter, 1967);parasitbarkmyre;Formicidae;Hymenoptera;Årevinger;Endnu ikke registreret for DK, potentiel ny art
Leptothorax kutteri;(Buschinger, 1965);snyltebarkmyre;Formicidae;Hymenoptera;Årevinger;Endnu ikke registreret for DK, potentiel ny art
Leptothorax muscorum;(Nylander, 1846);lille barkmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Monomorium pharaonis;(Linné, 1758);faraomyre;Formicidae;Hymenoptera;Årevinger;Opvarmede bygninger
Myrmecina graminicola;(Latreille, 1802);sløvmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica gallieni;(Bondroit, 1920);strandengstikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica hirsuta;(Elmes, 1978);håret gøgestikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica lobicornis;(Nylander, 1846);mørk stikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica rubra;(Linné, 1758);korttornet stikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica ruginodis;(Nylander, 1846);almindelig stikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica rugulosa;(Nylander, 1849);sandstikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica sabuleti;(Meinert, 1861);hedestikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica scabrinodis;(Nylander, 1846);engstikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica schencki;(Viereck, 1903);tragtstikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica specioides;(Bondroit, 1918);kyststikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica sulcinodis;(Nylander, 1846);stor stikmyre ;Formicidae;Hymenoptera;Årevinger;Fritlevende
Myrmica vandeli;(Bondroit, 1920);mosestikmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Solenopsis fugax;(Latreille, 1798);tyvemyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Stenamma debile;(Förster, 1850);skyggemyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Temnothorax interruptus;(Schenck, 1852);hedesmalmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Temnothorax nylanderi;(Förster, 1850);skovsmalmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Temnothorax tuberum;(Fabricius, 1775);mørkhovedet smalmyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Tetramorium atratulum;(Schenck, 1852);gøgefrømyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Tetramorium caespitum;(Linné, 1758);græstørvfrømyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
Tetramorium simillimum;(Smith, F., 1851);drivhusfrømyre;Formicidae;Hymenoptera;Årevinger;Endnu ikke registreret for DK, potentiel ny art
Harpagoxenus sublaevis;(Nylander, 1849);rustbrun røvermyre;Formicidae;Hymenoptera;Årevinger;Fritlevende
